_id,genres,movie,directors,stars,year,runtime,Up_System,index
3534,Sci-Fi,The Day the Sky Exploded,"Paolo Heusch, Mario Bava","Paul Hubschmid, Madeleine Fischer, Fiorella Mari, Ivo Garrani",1958.0,82.0,CM,38
4148,"Science Fiction, Action",The Day the Sky Exploded ,"Mario Bava, Paolo Heusch","Paul Hubschmid, Fiorella Mari, Madeleine Fischer, Ivo Garrani, Dario Michaelis",1958.0,82.0,CM,38
3772,"Science Fiction, Action, Adventure, Thriller",Star Trek V: The Final Frontier ,William Shatner,"William Shatner, Leonard Nimoy, DeForest Kelley, Laurence Luckinbill, Nichelle Nichols",1989.0,107.0,CM,39
585,"Action, Adventure, Fantasy",Star Trek V: The Final Frontier,William Shatner,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",1989.0,107.0,CM,39
4788,"Action, Adventure, Science Fiction",Green Lantern Corps ,,,2020.0,,CM,40
369,"Action, Adventure, Sci-Fi",Live Die Repeat and Repeat,Doug Liman,"Emily Blunt, Tom Cruise",,,CM,40
2944,Sci-Fi,The Tangle,Christopher Soren Kelly,"Joshua Bitton, Christopher Soren Kelly, Jessica Graham, Nicole da Silva",,,CM,41
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,41
2180,Science Fiction,Nobility ,E.J. De la Pena,"Cas Anvar, Walter Koenig, Doug Jones, Darren Jacobs, Torri Higginson",2017.0,120.0,CM,42
2128,Sci-Fi,Nobility,E.J. De la Pena,"Cas Anvar, Torri Higginson, Doug Jones, Darren Jacobs",2017.0,50.0,CM,42
2077,"Comedy, Drama, Sci-Fi",No Men Beyond This Point,Mark Sawers,"Patrick Gilmore, Bronwen Smith, Tara Pratt, Kristine Cofsky",2015.0,80.0,CM,43
2015,"Drama, Comedy, Science Fiction",No Men Beyond This Point ,Mark Sawers,"Rekha Sharma, Alissa Skovbye, Matthew Harrison, Patrick Gilmore, Benita Ha",2015.0,80.0,CM,43
2372,"Animation, Science Fiction",Mobile Suit Gundam F91 ,Yoshiyuki Tomino,"Masaki Maeda, Yumi Touma, Chie Koujiro, Kiyoyuki Yanada, Mari Yokoo",1991.0,115.0,CM,44
3445,"Animation, Action, Sci-Fi",Mobile Suit Gundam F91,Yoshiyuki Tomino,"Kji Tsujitani, Yumi Tma, Masaaki Maeda, Kiyoyuki Yanada",1991.0,120.0,CM,44
3706,"Action, Adventure, Science Fiction, Family, Fantasy",Mighty Morphin Power Rangers: The Movie ,Bryan Spicer,"Amy Jo Johnson, Jason David Frank, David Yost, Johnny Yong Bosch, Steve Cardenas",1995.0,92.0,CM,45
720,"Action, Adventure, Family",Mighty Morphin Power Rangers: The Movie,Bryan Spicer,"Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank",1995.0,95.0,CM,45
1148,Sci-Fi,Genesis,"Freddie Hutton-Mills, Bart Ruspoli","Olivia Grant, Chik Okonkwo, John Hannah, Warren Brown",2018.0,114.0,CM,46
2098,"Horror, Science Fiction, Drama",Genesis ,Peter Rose,,1991.0,4.0,CM,46
3865,"Drama, Sci-Fi",Into the Void,Matt Weinglass,"Davin Anderson, Jeff Glassberg, Ryan Foland, Alexandra Ford",2000.0,90.0,CM,47
4000,"Science Fiction, Drama",Into the Void ,Matt Weinglass,"Autumn Reeser, Davin Anderson, Jeff Glassberg, Ryan Foland, Alexandra Ford",2000.0,90.0,CM,47
1559,"Drama, Sci-Fi",Missile to the Moon,Richard E. Cunha,"Richard Travis, Cathy Downs, K.T. Stevens, Tommy Cook",1958.0,78.0,CM,48
2614,Science Fiction,Missile to the Moon ,Richard E. Cunha,"Richard Travis, Cathy Downs, K. T. Stevens, Tommy Cook, Nina Bara",1958.0,78.0,CM,48
535,"Adventure, Comedy, Family, Fantasy, Science Fiction",Aliens in the Attic ,John Schultz,"Carter Jenkins, Austin Butler, Kevin Nealon, Robert Hoffman, Doris Roberts",2009.0,86.0,CM,49
1292,"Animation, Adventure, Comedy",Aliens in the Attic,John Schultz,"Ashley Tisdale, Robert Hoffman, Carter Jenkins, Austin Butler",2009.0,86.0,CM,49
103,"Horror, Romance, Science Fiction",Spring ,"Justin Benson, Aaron Moorhead","Lou Taylor Pucci, Nadia Hilker, Nick Nevern, Augie Duke, Jeremy Gardner",2014.0,109.0,CM,50
444,"Horror, Romance, Sci-Fi",Spring,"Justin Benson, Aaron Moorhead","Lou Taylor Pucci, Nadia Hilker, Francesco Carnelutti, Nick Nevern",2014.0,109.0,CM,50
2933,"Drama, Science Fiction",Perfect: Android Rising ,Chris R. Notarile,"Roberto Lombardi, Samantha Talbott, Kasey Williams, Rick Zahn, Hector De La Rosa",2013.0,85.0,CM,51
4771,"Action, Drama, Sci-Fi",Perfect: Android Rising,Chris R. Notarile,"Roberto Lombardi, Samantha Talbott, Kasey Williams, Rick Zahn",2013.0,80.0,CM,51
1829,"Action, Horror, Mystery, Science Fiction",Gunhed ,"Alan Smithee, Masato Harada","Masahiro Takashima, Brenda Bakke, James Brewster Thompson, Aya Enjoji, Kaori Mizushima",1989.0,92.0,CM,52
2703,"Action, Sci-Fi, Thriller",Gunhed,Masato Harada,"Masahiro Takashima, Brenda Bakke, James Brewster Thompson, Aya Enjji",1989.0,100.0,CM,52
3597,"Mystery, Sci-Fi, Thriller",Moebius,Gustavo Mosquera R.,"Guillermo Angelelli, Roberto Carnaghi, Annabella Levy, Jorge Petraglia",1996.0,88.0,CM,53
1163,Science Fiction,Moebius ,Gustavo Mosquera R.,"Guillermo Angelelli, Roberto Carnaghi, Annabella Levy, Jorge Petraglia, Miguel ngel Paludi",1996.0,88.0,CM,53
3393,"Adventure, Comedy, Romance, Science Fiction, War",Invisible Agent ,Edwin L. Marin,"Ilona Massey, Jon Hall, Peter Lorre, Cedric Hardwicke, J. Edward Bromberg",1942.0,81.0,CM,54
3093,"Adventure, Comedy, Romance",Invisible Agent,Edwin L. Marin,"Ilona Massey, Jon Hall, Peter Lorre, Cedric Hardwicke",1942.0,81.0,CM,54
199,"Action, Sci-Fi",Batman & Robin,Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",1997.0,125.0,CM,55
721,"Science Fiction, Action, Fantasy, Comedy",Batman & Robin ,Joel Schumacher,"George Clooney, Chris O'Donnell, Arnold Schwarzenegger, Uma Thurman, Alicia Silverstone",1997.0,125.0,CM,55
400,"Action, Adventure, Horror",Deep Rising,Stephen Sommers,"Treat Williams, Famke Janssen, Anthony Heald, Kevin J. O'Connor",1998.0,106.0,CM,56
2305,"Adventure, Action, Horror, Science Fiction",Deep Rising ,Stephen Sommers,"Treat Williams, Famke Janssen, Anthony Heald, Kevin J. O'Connor, Una Damon",1998.0,106.0,CM,56
3582,"Horror, Sci-Fi",The Drift,Darren Scales,"Jonny Black, Victoria Hopkins, Vin Hawke, Peter Revel-Walsh",2014.0,101.0,CM,57
2001,Science Fiction,The Drift ,Darren Scales,"Jonny Black, Victoria Hopkins, Vin Hawke, Peter Revel-Walsh, David Dobson",2014.0,100.0,CM,57
581,"Action, Comedy, Sci-Fi",Wild Wild West,Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",1999.0,106.0,CM,58
