_id,genres,movie,directors,stars,year,runtime,Up_System,index
105,"Comedy, Music, Sci-Fi",Bill & Ted Face the Music,Dean Parisot,"Keanu Reeves, William Sadler, Alex Winter",2020.0,,CM,37
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,38
115,"Action, Adventure, Sci-Fi",X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",2011.0,131.0,CM,38
391,"Horror, Science Fiction, Mystery",Incident at Montauk ,Owen Mulligan,"Michael Ian Sugrue, Owen Mulligan, J.T. Holden, Jay Vos",2019.0,60.0,CM,39
840,"Horror, Mystery, Sci-Fi",Incident at Montauk,Owen Mulligan,"J.T. Holden, Owen Mulligan, Michael Ian Sugrue, Jay Vos",2019.0,60.0,CM,39
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,40
2010,"Adventure, Sci-Fi",Rim of the World,McG,"Lynn Collins, Tony Cavalero, Michael Beach, Annabeth Gish",,,CM,40
1716,"Action, Animation, Science Fiction",Mobile Suit Gundam Thunderbolt: Bandit Flower ,Kou Matsuo,"Yuichi Nakamura, Ryohei Kimura, Max Mittelman, Johnny Yong Bosch, Cherami Leigh",2017.0,70.0,CM,41
4779,"Sci-Fi, War",Mobile Suit Gundam Thunderbolt: Bandit Flower,Kou Matsuo,"Johnny Yong Bosch, Max Mittelman, Cherami Leigh, Tara Sands",2017.0,90.0,CM,41
3247,"Comedy, Horror, Science Fiction",Evil Aliens ,Jake West,"Emily Booth, Sam Butler, Jamie Honeybourne, Jodie Shaw, Peter O'Connor",2006.0,93.0,CM,42
2315,"Comedy, Horror, Sci-Fi",Evil Aliens,Jake West,"Emily Booth, Jamie Honeybourne, Sam Butler, Jodie Shaw",2005.0,93.0,CM,42
900,"Science Fiction, Action, Thriller, Adventure",Terminator Genisys ,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J.K. Simmons",2015.0,126.0,CM,43
303,"Action, Adventure, Sci-Fi",Terminator Genisys,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",2015.0,126.0,CM,43
727,"Sci-Fi, Thriller",Hardware,Richard Stanley,"Dylan McDermott, Stacey Travis, John Lynch, Carl McCoy",1990.0,94.0,CM,44
2327,"Horror, Science Fiction, Thriller",Hardware ,Richard Stanley,"Dylan McDermott, Stacey Travis, William Hootkins, Carl McCoy, Iggy Pop",1990.0,93.0,CM,44
3386,Science Fiction,Deceit ,Albert Pyun,"Samantha Phillips, Norbert Weisser, Scott Paulin, Diane Defoe, Christian Andrews",1992.0,92.0,CM,45
3764,"Comedy, Sci-Fi",Deceit,Albert Pyun,"Samantha Phillips, Norbert Weisser, Scott Paulin, Diane Defoe",1990.0,90.0,CM,45
769,"Action, Science Fiction, Fantasy",A Chinese Tall Story ,Jeffrey Lau,"Nicholas Tse, Charlene Choi, Fan Bingbing, Chen Bolin, Kenny Kwan",2005.0,103.0,CM,46
2910,"Action, Comedy, Drama",A Chinese Tall Story,Jeffrey Lau,"Nicholas Tse, Charlene Choi, Bingbing Fan, Bo-lin Chen",2005.0,106.0,CM,46
3411,"Action, Adventure, Animation, Comedy, Crime, Science Fiction",Lupin the Third: The Secret of Mamo ,"Soji Yoshikawa, Yasuo tsuka","Yasuo Yamada, Kiyoshi Kobayashi, Eiko Masuyama, Gor Naya, Makio Inoue",1978.0,102.0,CM,47
2264,"Animation, Action, Adventure",Lupin the 3rd: The Mystery of Mamo,"Sji Yoshikawa, Yasuo tsuka","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi, Makio Inoue",1978.0,102.0,CM,47
754,"Horror, Mystery, Science Fiction",Phoenix Forgotten ,Justin Barber,"Florence Hartigan, Jeanine Jackson, Chelsea Lopez, Luke Spencer Roberts, Cyd Strittmatter",2017.0,80.0,CM,48
939,"Horror, Mystery, Sci-Fi",Phoenix Forgotten,Justin Barber,"Florence Hartigan, Luke Spencer Roberts, Chelsea Lopez, Justin Matthews",2017.0,87.0,CM,48
4839,"Comedy, Horror, Sci-Fi",Other Halves,Matthew T. Price,"Lauren Lakis, Mercedes Manning, Lianna Liew, Melanie Friedrich",2015.0,90.0,CM,49
1658,"Science Fiction, Horror",Other Halves ,Matthew T. Price,"Lauren Lakis, Mercedes Manning, Sam Schweikert, Lianna Liew, Melanie Friedrich",2016.0,90.0,CM,49
