movie,directors,stars,year,runtime,genres
The Lucifer Complex,"Kenneth Hartford, David L. Hewitt","Robert Vaughn, Merrie Lynn Ross, Keenan Wynn, Aldo Ray",1978,91 min,Sci-Fi
Beyond the Call to Duty,Aleksandar Ivicic,"Kevin Tanski, Robert Woodley, Chris Clark, Will Mutka",2016,95 min,"Action, Drama, Horror"
Bug Buster,Lorenzo Doumani,"Randy Quaid, Brenda Epperson, Katherine Heigl, James Doohan",1998,93 min,"Comedy, Horror, Sci-Fi"
Toad Warrior,"Donald G. Jackson, Scott Shaw","Scott Shaw, Joe Estevez, Conrad Brooks, Jill Kelly",1996,80 min,"Action, Sci-Fi"
Terror in the Swamp,"Joe Catalanotto, Martin Folse","Keith Barker, Chuck Bush, Gerald Daigal, Albert Dyket",1985,87 min,"Horror, Sci-Fi"
The Killings at Outpost Zeta,"Robert Emenegger, Allan Sandler","Gordon De Vol, Jacqueline Ray, Jackson Bostwick, Stan Wojno",1980,92 min,"Sci-Fi, Thriller"
Xenophobia,"Joe Castro, Thomas J. Churchill, Steven J. Escobar","Kristen Renton, Manu Intiraymi, Alexander Kane, Brinke Stevens",2019,,Sci-Fi
Sk13,R. Ravikumar,"Rakul Preet Singh, Isha Koppikar, Bhanupriya, Yogi Babu",,,Sci-Fi
The App,"Isak Borg, Dena Hysell-Cornejo","Sarah Roemer, Sean Faris, James Saito, Thomas Kopache",2016,99 min,"Horror, Sci-Fi, Thriller"
Muse,Eric Badros,"Taylor Graham, Heather Weeks, Lavinia Postolache, Stevie Mack",2015,109 min,"Drama, Sci-Fi, Thriller"
The Prototype,Andrew Will,,,,"Action, Sci-Fi"
The Cat,Ngai Choi Lam,"Gloria Yip, Waise Lee, Christine Ng, Yuk-San Cheung",1992,89 min,"Horror, Sci-Fi"
The Terror Beneath the Sea,Hajime Satô,"Shin'ichi Chiba, Peggy Neal, Franz Gruber, Gunter Braun",1966,79 min,"Horror, Sci-Fi"
H.,"Rania Attieh, Daniel Garcia","Robin Bartlett, Rebecca Dayan, Will Janowitz, Julian Gamble",2014,93 min,"Drama, Sci-Fi, Thriller"
Happy End,"Arnaud Larrieu, Jean-Marie Larrieu","Mathieu Amalric, Catherine Frot, Karin Viard, Sergi López",2009,130 min,Sci-Fi
Erotibot,Naoyuki Tomomatsu,"Maria Ozawa, Yasunori Tanaka, Fukuten, Yûya Tokumoto",2011,72 min,Sci-Fi
Contagion,John Murlowski,"Bruce Boxleitner, Megan Gallagher, Lin Shaye, Tom Wright",2002,95 min,"Drama, Sci-Fi"
Dark Planet: Rebellion,Fedor Bondarchuk,"Vasiliy Stepanov, Yuliya Snigir, Pyotr Fyodorov, Sergey Garmash",2009,105 min,"Action, Adventure, Sci-Fi"
Dark Future,Greydon Clark,"Darby Hinton, Leonard Donato, Andria Mann, Gabriel Vaughn",1994,88 min,"Action, Sci-Fi"
Godkiller: Walk Among Us,Matt Pizzolo,"Danielle Harris, Lance Henriksen, Davey Havok, Justin Courtney Pierre",2010,75 min,"Animation, Sci-Fi"
Skyman,Daniel Myrick,"Willow Hale, Lee Broda, Patricia Lentz, Paul Wilson",,,Sci-Fi
Not of This Earth,Terence H. Winkless,"Michael York, Parker Stevenson, Elizabeth Barondes, Richard Belzer",1995,91 min,Sci-Fi
