movie,directors,stars,year,runtime,genres
Ghosts Can't Do It ,John Derek,"Bo Derek, Anthony Quinn, Don Murray, Julie Newmar, Donald Trump",1989, 1h 30m,"Fantasy, Action, Comedy, Science Fiction, Romance"
Cyborg 009 ,Yugo Serikawa,"Hiroyuki Ôta, Arihiro Fujimura, Hiroshi Masuoka, Hiroshi Ôtake, Judy Ongg",1966, 1h 5m,"Action, Science Fiction, Animation"
The Unearthly ,Boris Petroff,"John Carradine, Myron Healey, Allison Hayes, Marilyn Buferd, Tor Johnson",1957, 1h 13m,Science Fiction
The Barrier ,Christo Christov,"Vania Tzvetkova, Innokentiy Smoktunovskiy, Ivan Kondov, Maria Dimcheva, Evgeniya Barakova",1979, 2h 28m,"Drama, Science Fiction"
Ghost in the Shell ,Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Michael Pitt, Chin Han, Juliette Binoche",2017, 1h 47m,"Action, Science Fiction, Thriller, Drama"
Estong Tutong: Ikalawang yugto ,Angel Labra,"Chiquito, Anna Marin, Pia Moran",1983, -,"Science Fiction, Comedy"
"Léa, un ange dans ma maison ",Jacques-Hervé Fichet,"Jacques-Hervé Fichet, Stephan Petit, Lou-Émilie Alves, Quentin King",2015, 1h 41m,"Science Fiction, Thriller"
Population Zero ,Robert Kouba,,2013, 0h 12m,"Action, Science Fiction, Drama"
The Sarah Jane Adventures: Invasion of the Bane ,Colin Teague,"Elisabeth Sladen, Samantha Bond, Yasmin Paige, Tommy Knight, Alexander Armstrong",2007, 1h 0m,Science Fiction
Death on Saturn's Moon ,John Krawlzik,"Paul L. Nolan, Sally Mercer, Curt Karibalis",2000, 1h 27m,"Thriller, Science Fiction, Drama"
Quantum Apocalypse ,Justin Jones,"Rhett Giles, Stephanie Jacobsen, Gigi Edgley, Kristen Quintrall, Peter Jurasik",2010, 1h 33m,"TV Movie, Science Fiction"
The Projected Man ,Ian Curteis,"Mary Peach, Bryant Haliday, Norman Wooland, Ronald Allen, Derek Farr",1966, 1h 17m,"Horror, Science Fiction"
Auld Lang Syne ,Bradley Porter,"Aisling Loftus, Adam Newington, Sean Douglas, Toni Hougham, Fabian Holland",2015, 0h 18m,"Thriller, Science Fiction"
Escape Zero ,"Anthony Melton, Ben Franklin","Dominic Kinnaird, Dave Sommer",2014, 0h 5m,"Action, Science Fiction"
Existo ,Coke Sams,"Bruce Arntson, Jackie Welch, Jim Varney, Mark Cabus, Gailard Sartain",1999, 1h 34m,"Science Fiction, Comedy"
Approaching the Unknown ,Mark Elijah Rosenberg,"Mark Strong, Luke Wilson, Sanaa Lathan, Anders Danielsen Lie, Charles Baker",2016, 1h 30m,"Thriller, Drama, Science Fiction"
Mr. X ,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur, Arunoday Singh, Tanmay Bhat, Bikramjeet Kanwarpal",2015, 2h 5m,"Action, Science Fiction, Thriller"
Captive ,"Robert Emenegger, Allan Sandler, Ken Lavet, Anne Spielberg","Cameron Mitchell, David Ladd, Lori Saunders, Dan Sturkie, Donald Bishop",1980, 1h 30m,Science Fiction
Ebola Zombies ,Samuel Leong,"Anna Chan, Jack Chan, Samuel Leong, Cash Lee, Ivan Wong",2015, 1h 30m,"Horror, Science Fiction"
Adventurados ,Berton Pierce,"Stephen Patrick Hanna, David Masterson, Gabrielle Miller, Ryan James",2015, 1h 26m,"Science Fiction, Adventure, Comedy"
Glitch ,Randy Daudlin,"Steve Byers, Cedric Smith, Matthew Edison, Kathleen Robertson",2008, 1h 35m,Science Fiction
Grandmothers Recharge Well! ,Ladislav Rychman,"Jiří Lábus, Daniela Kolářová, Libuše Havelková, Jana Dítětová, Jiří Novotný",1984, 1h 41m,"Science Fiction, Comedy, Horror"
