genres,movie,directors,link,stars,year,runtime
358,Mad Max Beyond Thunderdome,"George Miller, George Ogilvie",,"Mel Gibson, Tina Turner, Bruce Spence, Adam Cockburn",1985,107 min
359,RoboCop,José Padilha,,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,117 min
102,Lucy in the Sky,Noah Hawley,,"Zazie Beetz, Dan Stevens, Natalie Portman, Jon Hamm",2019,
103,Replicas,Jeffrey Nachmanoff,,"Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz",2018,107 min
104,Godzilla vs. Kong,Adam Wingard,,"Alexander Skarsgård, Millie Bobby Brown, Eiza González, Danai Gurira",2020,
105,X-Men: First Class,Matthew Vaughn,,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",2011,131 min
106,A-X-L,Oliver Daly,,"Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains",2018,98 min
107,Transformers,Michael Bay,,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2007,144 min
108,Hellboy II: The Golden Army,Guillermo del Toro,,"Ron Perlman, Selma Blair, Doug Jones, John Alexander",2008,120 min
109,I Am Legend,Francis Lawrence,,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",2007,101 min
110,The Terminator,James Cameron,,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",1984,107 min
111,Man of Steel,Zack Snyder,,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013,143 min
420,Criminal,Ariel Vromen,,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",2016,113 min
421,High-Rise,Ben Wheatley,,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans",2015,119 min
422,Flatliners,Niels Arden Oplev,,"Ellen Page, Diego Luna, Nina Dobrev, James Norton",2017,109 min
423,Escape from New York,John Carpenter,,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence",1981,99 min
424,Back to the Future Part III,Robert Zemeckis,,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",1990,118 min
425,Megamind,Tom McGrath,,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010,95 min
426,Battle Royale,Kinji Fukasaku,,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano",2000,114 min
