genres,movie,directors,link,stars,year,runtime
568,9,Shane Acker,,"Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer",2009,79 min
569,Flatliners,Joel Schumacher,,"Kiefer Sutherland, Kevin Bacon, Julia Roberts, William Baldwin",1990,115 min
570,Monsters vs. Aliens,"Rob Letterman, Conrad Vernon",,"Reese Witherspoon, Rainn Wilson, Stephen Colbert, Seth Rogen",2009,94 min
336,Battle Los Angeles,Jonathan Liebesman,,"Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan, Ramon Rodriguez",2011,116 min
337,Predators,Nimród Antal,,"Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga",2010,107 min
338,Kin,"Jonathan Baker, Josh Baker",,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz",2018,102 min
339,Elysium,Neill Blomkamp,,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",2013,109 min
237,Hollow Man,Paul Verhoeven,,"Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens",2000,112 min
238,Downsizing,Alexander Payne,,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig",2017,135 min
239,How It Ends,David M. Rosenthal,,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",2018,113 min
240,Limitless,Neil Burger,,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",2011,105 min
88,Ad Astra,James Gray,,"Brad Pitt, Tommy Lee Jones, Donald Sutherland, Ruth Negga",2019,
89,Upgrade,Leigh Whannell,,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden",2018,100 min
90,The Prestige,Christopher Nolan,,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",2006,130 min
91,Terminator Genisys,Alan Taylor,,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",2015,126 min
528,Critters,Stephen Herek,,"Dee Wallace, M. Emmet Walsh, Billy Green Bush, Scott Grimes",1986,86 min
529,Star Trek VI: The Undiscovered Country,Nicholas Meyer,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",1991,110 min
530,Lost in Space,Stephen Hopkins,,"Gary Oldman, William Hurt, Matt LeBlanc, Mimi Rogers",1998,130 min
531,Masters of the Universe,"Aaron Nee, Adam Nee",,Noah Centineo,,
173,V for Vendetta,James McTeigue,,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",2005,132 min
174,Total Recall,Paul Verhoeven,,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin",1990,113 min
175,Time Trap,"Mark Dennis, Ben Foster",,"Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon",2017,87 min
268,The Mist,Frank Darabont,,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher",2007,126 min
269,Justice League Part Two,,,"Gal Gadot, Joe Manganiello, Jesse Eisenberg",,
270,The Lost World: Jurassic Park,Steven Spielberg,,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn",1997,129 min
571,The Lawnmower Man,Brett Leonard,,"Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson",1992,108 min
572,Push,Paul McGuigan,,"Camilla Belle, Dakota Fanning, Chris Evans, Colin Ford",2009,111 min
573,Z for Zachariah,Craig Zobel,,"Chiwetel Ejiofor, Chris Pine, Margot Robbie",2015,98 min
340,Barbarella,Roger Vadim,,"Jane Fonda, John Phillip Law, Anita Pallenberg, Milo O'Shea",1968,98 min
341,Escape Plan 2: Hades,Steven C. Miller,,"Sylvester Stallone, Dave Bautista, Xiaoming Huang, Jesse Metcalfe",2018,96 min
342,Tomorrowland,Brad Bird,,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",2015,130 min
241,Splice,Vincenzo Natali,,"Adrien Brody, Sarah Polley, Delphine Chanéac, Brandon McGibbon",2009,104 min
242,Guardians of the Galaxy Vol. 3,James Gunn,,"Pom Klementieff, Elizabeth Debicki",2022,
243,Akira,Katsuhiro Ôtomo,,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda",1988,124 min
244,The Thing,Matthijs van Heijningen Jr.,,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen",2011,103 min
92,Kong: Skull Island,Jordan Vogt-Roberts,,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",2017,118 min
93,Prospect,"Christopher Caldwell, Zeek Earl",,"Sophie Thatcher, Jay Duplass, Pedro Pascal, Luke Pitzrick",2018,100 min
94,Alien: Covenant,Ridley Scott,,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",2017,122 min
95,Green Lantern,Martin Campbell,,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",2011,114 min
532,Perfect Sense,David Mackenzie,,"Ewan McGregor, Eva Green, Lauren Tempany, Connie Nielsen",2011,92 min
533,Escape from L.A.,John Carpenter,,"Kurt Russell, Steve Buscemi, Stacy Keach, Peter Fonda",1996,101 min
534,Green Lantern Corps,,,,2020,
535,Doomsday,Neil Marshall,,"Rhona Mitra, Bob Hoskins, Alexander Siddig, Caryn Peterson",2008,105 min
176,The Running Man,Paul Michael Glaser,,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown",1987,101 min
177,The Batman,Matt Reeves,,,2021,
178,Prometheus,Ridley Scott,,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012,124 min
179,Spider-Man 3,Sam Raimi,,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007,139 min
271,Predestination,"Michael Spierig, Peter Spierig",,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West",2014,97 min
272,Signs,M. Night Shyamalan,,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",2002,106 min
273,Spaceballs,Mel Brooks,,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman",1987,96 min
274,The Matrix Revolutions,"Lana Wachowski, Lilly Wachowski",,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",2003,129 min
574,The Manchurian Candidate,Jonathan Demme,,"Denzel Washington, Liev Schreiber, Meryl Streep, Kimberly Elise",2004,129 min
575,The Darkest Hour,Chris Gorak,,"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor",2011,89 min
576,Killer Klowns from Outer Space,Stephen Chiodo,,"Grant Cramer, Suzanne Snyder, John Allen Nelson, John Vernon",1988,88 min
577,Daybreakers,"Michael Spierig, Peter Spierig",,"Ethan Hawke, Willem Dafoe, Sam Neill, Harriet Minto-Day",2009,98 min
343,Assassin's Creed,Justin Kurzel,,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",2016,115 min
344,Cocoon,Ron Howard,,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy",1985,117 min
345,Star Trek III: The Search for Spock,Leonard Nimoy,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",1984,105 min
346,Hot Tub Time Machine,Steve Pink,,"John Cusack, Rob Corddry, Craig Robinson, Clark Duke",2010,101 min
245,Spies in Disguise,"Nick Bruno, Troy Quane",,"Karen Gillan, Ben Mendelsohn, Tom Holland, Will Smith",2019,
246,War of the Worlds,Steven Spielberg,,"Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto",2005,116 min
247,The Day After Tomorrow,Roland Emmerich,,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",2004,124 min
248,What Happened to Monday,Tommy Wirkola,,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari",2017,123 min
96,The First Purge,Gerard McMurray,,"Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris",2018,98 min
97,The Thing,John Carpenter,,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur",1982,109 min
98,Black Widow,Cate Shortland,,"David Harbour, Scarlett Johansson, Florence Pugh, Rachel Weisz",1991,
99,Terminator 2: Judgment Day,James Cameron,,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",2002,137 min
536,Star Trek: Nemesis,Stuart Baird,,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",2002,116 min
537,Superman II,"Richard Lester, Richard Donner",,"Gene Hackman, Christopher Reeve, Margot Kidder, Ned Beatty",1980,127 min
538,Next Gen,"Kevin R. Adams, Joe Ksander, Ricardo Curtis",,"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña",2018,106 min
180,The Giver,Phillip Noyce,,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",2014,97 min
181,The Amazing Spider-Man,Marc Webb,,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136 min
182,Snowpiercer,Joon-ho Bong,,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",2013,126 min
183,Black Mirror: Bandersnatch,David Slade,,"Fionn Whitehead, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,90 min
275,Teenage Mutant Ninja Turtles,Steve Barron,,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",1990,93 min
276,Superman Returns,Bryan Singer,,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2006,154 min
277,The Fly,David Cronenberg,,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",1986,96 min
578,The Stuff,Larry Cohen,,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino",1985,87 min
579,The Last Starfighter,Nick Castle,,"Lance Guest, Robert Preston, Kay E. Kuter, Dan Mason",1984,101 min
580,How to Talk to Girls at Parties,John Cameron Mitchell,,"Nicole Kidman, Ruth Wilson, Elle Fanning, Matt Lucas",2017,102 min
581,The Fly II,Chris Walas,,"Eric Stoltz, Daphne Zuniga, Lee Richardson, John Getz",1989,105 min
347,Jurassic World 3,Colin Trevorrow,,"Bryce Dallas Howard, Chris Pratt",2021,
348,Gattaca,Andrew Niccol,,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal",1997,106 min
349,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014,123 min
350,The Island,Michael Bay,,"Scarlett Johansson, Ewan McGregor, Djimon Hounsou, Steve Buscemi",2005,136 min
249,Twelve Monkeys,Terry Gilliam,,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito",1995,129 min
250,A Wrinkle in Time,Ava DuVernay,,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling",2018,109 min
539,Maximum Overdrive,Stephen King,,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",1986,98 min
540,Zathura: A Space Adventure,Jon Favreau,,"Josh Hutcherson, Jonah Bobo, Dax Shepard, Tim Robbins",2005,101 min
541,Mortal Kombat: Annihilation,John R. Leonetti,,"Robin Shou, Talisa Soto, James Remar, Sandra Hess",1997,95 min
542,Iron Sky,Timo Vuorensola,,"Julia Dietze, Christopher Kirby, Götz Otto, Udo Kier",2012,93 min
184,MFKZ,"Shôjirô Nishimi, Guillaume Renard",,"Orelsan, Gringe, Redouanne Harjane, Féodor Atkine",2017,94 min
185,Men in Black,Barry Sonnenfeld,,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio",1997,98 min
186,Batman & Robin,Joel Schumacher,,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",1997,125 min
187,IO,Jonathan Helpert,,"Margaret Qualley, Anthony Mackie, Danny Huston, Tom Payne",2019,96 min
278,Spy Kids 3-D: Game Over,Robert Rodriguez,,"Daryl Sabara, Alexa PenaVega, Antonio Banderas, Carla Gugino",2003,84 min
279,Dredd,Pete Travis,,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",2012,95 min
280,The Sand,Isaac Gabaeff,,"Brooke Butler, Cleo Berry, Cynthia Murell, Dean Geyer",2015,84 min
582,Hitman: Agent 47,Aleksander Bach,,"Rupert Friend, Hannah Ware, Zachary Quinto, Ciarán Hinds",2015,96 min
583,The Nutty Professor,Tom Shadyac,,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller",1996,95 min
584,Frequency,Gregory Hoblit,,"Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell",2000,118 min
585,The Fly,Kurt Neumann,,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall",1958,94 min
543,Eight Legged Freaks,Ellory Elkayem,,"David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson",2002,99 min
544,Superman III,Richard Lester,,"Christopher Reeve, Richard Pryor, Margot Kidder, Jackie Cooper",1983,125 min
545,Judge Dredd,Danny Cannon,,"Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow",1995,96 min
546,Stay Alive,William Brent Bell,,"Jon Foster, Samaire Armstrong, Frankie Muniz, Jimmi Simpson",2006,85 min
188,The Dark Tower,Nikolaj Arcel,,"Idris Elba, Matthew McConaughey, Tom Taylor, Dennis Haysbert",2017,95 min
189,Dragon Ball Super: Broly,Tatsuya Nagamine,,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Toshio Furukawa",2018,100 min
190,World War Z,Marc Forster,,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013,116 min
191,Evolution,Ivan Reitman,,"David Duchovny, Orlando Jones, Julianne Moore, Seann William Scott",2001,101 min
192,Space Jam,Joe Pytka,,"Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington",1996,88 min
281,Blade,Stephen Norrington,,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",1998,120 min
282,Extinction,Ben Young,,"Michael Peña, Lizzy Caplan, Amelia Crouch, Erica Tremblay",2018,95 min
283,John Carter,Andrew Stanton,,"Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton",2012,132 min
284,The Cloverfield Paradox,Julius Onah,,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz",2018,102 min
586,Race to Witch Mountain,Andy Fickman,,"Dwayne Johnson, Carla Gugino, AnnaSophia Robb, Alexander Ludwig",2009,98 min
587,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,,"Paige Turco, David Warner, Michelan Sisti, Leif Tilden",1991,88 min
588,Victor Frankenstein,Paul McGuigan,,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",2015,110 min
589,Hot Bot,Michael Polish,,"Zack Pearlman, Doug Haley, Cynthia Kirchner, David Shackelford",2016,86 min
547,Patient Zero,Stefan Ruzowitzky,,"Natalie Dormer, Stanley Tucci, Matt Smith, Clive Standen",2018,93 min
548,Ghost Rider: Spirit of Vengeance,"Mark Neveldine, Brian Taylor",,"Nicolas Cage, Ciarán Hinds, Idris Elba, Violante Placido",2011,96 min
549,Resident Evil: Afterlife,Paul W.S. Anderson,,"Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates",2010,96 min
193,TRON: Legacy,Joseph Kosinski,,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",2010,125 min
194,Face/Off,John Woo,,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",1997,138 min
195,Children of Men,Alfonso Cuarón,,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine",2006,109 min
601,Mary Shelley's Frankenstein,Kenneth Branagh,,"Robert De Niro, Kenneth Branagh, Helena Bonham Carter, Tom Hulce",1994,123 min
651,Timecop,Peter Hyams,,"Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill",1994,99 min
285,X2: X-Men United,Bryan Singer,,"Patrick Stewart, Hugh Jackman, Halle Berry, Ian McKellen",2003,134 min
286,Cell,Tod Williams,,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo",2016,98 min
287,Terminator Salvation,McG,,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009,115 min
288,WALL·E,Andrew Stanton,,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",2008,98 min
289,Star Wars: Episode III - Revenge of the Sith,George Lucas,,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson",2005,140 min
290,28 Days Later...,Danny Boyle,,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer",2002,113 min
951,Invaders from Mars,Tobe Hooper,,"Karen Black, Hunter Carson, Timothy Bottoms, Laraine Newman",1986,100 min
590,The Blob,Chuck Russell,,"Shawnee Smith, Kevin Dillon, Donovan Leitch Jr., Jeffrey DeMunn",1988,95 min
591,Resident Evil: Retribution,Paul W.S. Anderson,,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",2012,95 min
592,Supergirl,Jeannot Szwarc,,"Helen Slater, Faye Dunaway, Peter O'Toole, Hart Bochner",1984,124 min
593,Galaxy of Terror,Bruce D. Clark,,"Edward Albert, Erin Moran, Ray Walston, Bernard Behrens",1981,81 min
594,Division 19,S.A. Halewood,,"Linus Roache, Alison Doody, Lotte Verbeek, Clarke Peters",2017,93 min
595,Star Trek: Insurrection,Jonathan Frakes,,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",1998,103 min
596,Westworld,Michael Crichton,,"Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold",1973,88 min
597,King Kong,"Merian C. Cooper, Ernest B. Schoedsack",,"Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",1933,100 min
550,Boss Level,Joe Carnahan,,"Mel Gibson, Annabelle Wallis, Naomi Watts, Michelle Yeoh",2019,
196,Superman,Richard Donner,,"Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando",1978,143 min
197,Godzilla,Gareth Edwards,,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",2014,123 min
198,About Time,Richard Curtis,,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson",2013,123 min
199,Spy Kids,Robert Rodriguez,,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",2001,88 min
602,The Black Hole,Gary Nelson,,"Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms",1979,98 min
603,Primer,Shane Carruth,,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya",2004,77 min
604,Free Guy,Shawn Levy,,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery",2020,
605,Superman IV: The Quest for Peace,Sidney J. Furie,,"Christopher Reeve, Gene Hackman, Margot Kidder, Jackie Cooper",1987,90 min
606,Twisted Pair,Neil Breen,,"Neil Breen, Sara Meritt, Siohbon Chevy Ebrahimi, Denise Bellini",2018,89 min
607,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",,"Bill Hader, Anna Faris, Will Forte, Neil Patrick Harris",2013,95 min
608,I Think We're Alone Now,Reed Morano,,"Peter Dinklage, Elle Fanning, Charlotte Gainsbourg, Paul Giamatti",2018,93 min
652,Pi,Darren Aronofsky,,"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart",1998,84 min
653,Village of the Damned,John Carpenter,,"Christopher Reeve, Kirstie Alley, Linda Kozlowski, Michael Paré",1995,99 min
654,eXistenZ,David Cronenberg,,"Jude Law, Jennifer Jason Leigh, Ian Holm, Willem Dafoe",1999,97 min
655,Deep Rising,Stephen Sommers,,"Treat Williams, Famke Janssen, Anthony Heald, Kevin J. O'Connor",1998,106 min
656,Scanners,David Cronenberg,,"Jennifer O'Neill, Stephen Lack, Patrick McGoohan, Lawrence Dane",1981,103 min
657,Soldier,Paul W.S. Anderson,,"Kurt Russell, Jason Scott Lee, Jason Isaacs, Connie Nielsen",1998,99 min
658,24 Hours to Live,Brian Smrz,,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer",2017,93 min
659,Titan A.E.,"Don Bluth, Gary Goldman",,"Matt Damon, Drew Barrymore, Bill Pullman, John Leguizamo",2000,94 min
291,The Purge: Election Year,James DeMonaco,,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",2016,108 min
292,Resident Evil,Paul W.S. Anderson,,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce",2002,100 min
293,Transcendence,Wally Pfister,,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014,119 min
294,Masters of the Universe,Gary Goddard,,"Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty",1987,106 min
295,The World's End,Edgar Wright,,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike",2013,109 min
296,Total Recall,Len Wiseman,,"Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale",2012,118 min
952,Synchronicity,Jacob Gentry,,"Chad McKnight, Brianne Davis, AJ Bowen, Scott Poythress",2015,101 min
953,Them!,Gordon Douglas,,"James Whitmore, Edmund Gwenn, Joan Weldon, James Arness",1954,94 min
954,"I, Robot 2",,,,,
955,Nemesis,Albert Pyun,,"Olivier Gruner, Tim Thomerson, Cary-Hiroyuki Tagawa, Merle Kennedy",1992,95 min
956,Orbiter 9,Hatem Khraiche,,"Clara Lago, Álex González, Andrés Parra, Belén Rueda",2017,95 min
957,Willard,Glen Morgan,,"Crispin Glover, R. Lee Ermey, Laura Harring, Jackie Burroughs",2003,100 min
958,The X Files: I Want to Believe,Chris Carter,,"David Duchovny, Gillian Anderson, Billy Connolly, Amanda Peet",2008,104 min
598,Orgazmo,Trey Parker,,"Trey Parker, Dian Bachar, Robyn Lynne Raab, Michael Dean Jacobs",1997,94 min
599,Journey to the Center of the Earth,Eric Brevig,,"Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers",2008,93 min
600,The Thirteenth Floor,Josef Rusnak,,"Craig Bierko, Gretchen Mol, Armin Mueller-Stahl, Vincent D'Onofrio",1999,100 min
901,The Anomaly,Noel Clarke,,"Noel Clarke, Ian Somerhalder, Brian Cox, Alexis Knapp",2014,97 min
701,Home,Tim Johnson,,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94 min
200,The Domestics,Mike P. Nelson,,"Kate Bosworth, Tyler Hoechlin, Sonoya Mizuno, Lance Reddick",2018,95 min
609,Tank Girl,Rachel Talalay,,"Lori Petty, Ice-T, Naomi Watts, Don Harvey",1995,104 min
610,Surrogates,Jonathan Mostow,,"Bruce Willis, Radha Mitchell, Ving Rhames, Rosamund Pike",2009,89 min
611,Short Circuit,John Badham,,"Ally Sheedy, Steve Guttenberg, Fisher Stevens, Austin Pendleton",1986,98 min
612,The Stepford Wives,Frank Oz,,"Nicole Kidman, Bette Midler, Matthew Broderick, Glenn Close",2004,93 min
613,Land of the Lost,Brad Silberling,,"Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone",2009,102 min
614,Creature from the Black Lagoon,Jack Arnold,,"Richard Carlson, Julie Adams, Richard Denning, Antonio Moreno",1954,79 min
615,The Void,"Jeremy Gillespie, Steven Kostanski",,"Aaron Poole, Kenneth Welsh, Daniel Fathers, Kathleen Munroe",2016,90 min
616,Resident Evil: Extinction,Russell Mulcahy,,"Milla Jovovich, Ali Larter, Oded Fehr, Iain Glen",2007,94 min
660,2010,Peter Hyams,,"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban",1984,116 min
661,Death House,B. Harrison Smith,,"Cody Longo, Cortney Palm, Adrienne Barbeau, Michael Berryman",2017,95 min
662,Forbidden World,Allan Holzman,,"Jesse Vint, Dawn Dunlap, June Chadwick, Linden Chiles",1982,77 min
663,Freaks of Nature,Robbie Pickering,,"Nicholas Braun, Mackenzie Davis, Josh Fadem, Denis Leary",2015,92 min
664,Shin Godzilla,"Hideaki Anno, Shinji Higuchi",,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi",2016,120 min
665,Bleeding Steel,Leo Zhang,,"Jackie Chan, Show Lo, Na-Na OuYang, Erica Xia-Hou",2017,109 min
666,Castle in the Sky,Hayao Miyazaki,,"Anna Paquin, James Van Der Beek, Cloris Leachman, Mark Hamill",1986,125 min
667,The Curse of the Were-Rabbit,"Steve Box, Nick Park",,"Peter Sallis, Helena Bonham Carter, Ralph Fiennes, Peter Kay",2005,85 min
297,Army of the Dead,Zack Snyder,,Dave Bautista,,
298,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1983,131 min
299,2012,Roland Emmerich,,"John Cusack, Thandie Newton, Chiwetel Ejiofor, Amanda Peet",2009,158 min
300,The Circle,James Ponsoldt,,"Emma Watson, Tom Hanks, John Boyega, Ellar Coltrane",2017,110 min
959,Clockstoppers,Jonathan Frakes,,"Jesse Bradford, French Stewart, Paula Garcés, Michael Biehn",2002,94 min
960,Wizards,Ralph Bakshi,,"Bob Holt, Jesse Welles, Richard Romanus, David Proval",1977,80 min
961,Blue Thunder,John Badham,,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern",1983,109 min
962,S. Darko,Chris Fisher,,"Daveigh Chase, Briana Evigan, James Lafferty, Ed Westwick",2009,103 min
963,Revolt,Joe Miale,,"Lee Pace, Bérénice Marlohe, Jason Flemyng, Sibulele Gcilitshana",2017,87 min
964,Cherry 2000,Steve De Jarnatt,,"Melanie Griffith, David Andrews, Pamela Gidley, Jennifer Balgobin",1987,99 min
965,Who Am I?,"Benny Chan, Jackie Chan",,"Jackie Chan, Michelle Ferre, Mirai Yamamoto, Ron Smerczak",1998,108 min
902,Radius,"Caroline Labrèche, Steeve Léonard",,"Diego Klattenhoff, Charlotte Sullivan, Brett Donahue, Bradley Sawatzky",2017,93 min
903,Shivers,David Cronenberg,,"Paul Hampton, Joe Silver, Lynn Lowry, Allan Kolman",1975,87 min
904,Solarbabies,Alan Johnson,,"Richard Jordan, Jami Gertz, Jason Patric, Lukas Haas",1986,94 min
905,Fantastic Voyage,Richard Fleischer,,"Stephen Boyd, Raquel Welch, Edmond O'Brien, Donald Pleasence",1966,100 min
906,Nutty Professor II: The Klumps,Peter Segal,,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",2000,106 min
907,Piranha,Joe Dante,,"Bradford Dillman, Heather Menzies-Urich, Kevin McCarthy, Keenan Wynn",1978,94 min
908,The Rezort,Steve Barker,,"Dougray Scott, Jessica De Gouw, Martin McCann, Claire Goose",2015,93 min
909,Shark Night 3D,David R. Ellis,,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee",2011,90 min
702,Gotham City Sirens,David Ayer,,Margot Robbie,,
703,Daylight's End,William Kaufman,,"Johnny Strong, Lance Henriksen, Louis Mandylor, Hakeem Kae-Kazim",2016,105 min
704,Barb Wire,David Hogan,,"Pamela Anderson, Amir AboulEla, Adriana Alexander, David Andriole",1996,98 min
705,Sleight,J.D. Dillard,,"Jacob Latimore, Seychelle Gabriel, Storm Reid, Donzaleigh Abernathy",2016,89 min
706,Project Ghazi,Nadir Shah,,"Sheheryar Munawar Siddiqui, Syra Shehroz, Adnan Jaffar, Talat Hussain",2017,
707,Cube²: Hypercube,Andrzej Sekula,,"Kari Matchett, Geraint Wyn Davies, Grace Lynn Kung, Matthew Ferguson",2002,94 min
708,Carriers,"David Pastor, Àlex Pastor",,"Chris Pine, Piper Perabo, Lou Taylor Pucci, Emily VanCamp",2009,84 min
801,The Recall,Mauro Borrelli,,"Wesley Snipes, RJ Mitte, Jedidiah Goodacre, Laura Bilgeri",2017,90 min
851,Dark Angel,Craig R. Baxley,,"Dolph Lundgren, Brian Benben, Betsy Brantley, Matthias Hues",1990,91 min
